,0,1,2
8157,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8158,CD4 Naive,CD4+ Naive T,CD4 Naive
8159,CD4 Naive,CD4+ Naive T,CD4 Naive
8160,CD8 Naive,CD8+ Naive T,CD8 Naive
8161,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8162,CD4 Memory,CD4+ Naive T,CD4 Naive
8163,CD4 Naive,CD4+ Naive T,CD4 Naive
8164,,CD14+ Monocytes,CD14 Mono
8165,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8166,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8167,NK cell,NK cell,NK
8168,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8169,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8170,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8171,CD4 Naive,CD4+ Naive T,CD4 Naive
8172,CD8 Naive,CD8+ Naive T,CD8 Naive
8173,CD8 Naive,CD8+ Naive T,CD8 Naive
8174,B cell progenitor,Dendritic Cells,B intermediate
8175,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8176,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8177,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8178,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8179,B cell progenitor,Dendritic Cells,B intermediate
8180,CD4 Memory,CD4+ Naive T,CD4 Naive
8181,pre-B cell,Dendritic Cells,B naive
8182,Dendritic cell,Dendritic Cells,cDC2
8183,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8184,CD8 Naive,CD8+ Naive T,CD8 Naive
8185,CD8 Naive,CD8+ Naive T,CD8 Naive
8186,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8187,CD8 Naive,CD8+ Naive T,CD8 Naive
8188,,CD14+ Monocytes,CD14 Mono
8189,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8190,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8191,B cell progenitor,Dendritic Cells,B intermediate
8192,CD4 Naive,CD4+ Naive T,CD4 Naive
8193,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8194,CD8 Naive,CD8+ Naive T,CD8 Naive
8195,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8196,B cell progenitor,Dendritic Cells,B intermediate
8197,CD8 Naive,CD8+ Naive T,CD8 Naive
8198,CD8 Naive,CD8+ Naive T,CD8 Naive
8199,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8200,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8201,Platelets,pDC,dnT
8202,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8203,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8204,B cell progenitor,Dendritic Cells,B intermediate
8205,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8206,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8207,NK cell,NK cell,NK
8208,CD4 Memory,CD4+ Naive T,CD4 Naive
8209,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8210,pre-B cell,Dendritic Cells,B naive
8211,NK cell,NK cell,NK
8212,CD8 Naive,CD8+ Naive T,CD8 Naive
8213,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8214,CD8 Naive,CD8+ Naive T,CD8 Naive
8215,CD4 Naive,CD4+ Naive T,CD4 Naive
8216,CD4 Naive,CD4+ Naive T,CD4 Naive
8217,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8218,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8219,CD4 Memory,CD4+ Naive T,CD4 Naive
8220,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8221,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8222,CD8 Naive,CD4+ Naive T,CD4 Naive
8223,pre-B cell,Dendritic Cells,B naive
8224,CD4 Naive,CD4+ Naive T,CD4 Naive
8225,CD4 Naive,CD4+ Naive T,CD4 Naive
8226,CD4 Naive,CD4+ Naive T,CD4 Naive
8227,CD8 Naive,CD8+ Naive T,CD8 Naive
8228,CD4 Naive,CD4+ Naive T,CD4 Naive
8229,CD4 Naive,CD4+ Naive T,CD4 Naive
8230,B cell progenitor,Dendritic Cells,B intermediate
8231,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8232,CD4 Naive,CD4+ Central Memory T,CD4 TCM
8233,CD8 Naive,CD8+ Naive T,CD8 Naive
8234,CD4 Naive,CD4+ Naive T,CD4 Naive
8235,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8236,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8237,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8238,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8239,CD4 Naive,CD4+ Naive T,CD4 Naive
8240,CD8 Naive,CD8+ Naive T,CD8 Naive
8241,CD4 Naive,CD8+ Effector Memory T,CD8 TEM
8242,Platelets,pDC,dnT
8243,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8244,CD4 Naive,CD4+ Naive T,CD4 Naive
8245,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8246,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8247,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8248,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8249,pre-B cell,Dendritic Cells,B naive
8250,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8251,CD4 Naive,CD4+ Naive T,CD4 Naive
8252,CD8 Naive,CD8+ Naive T,CD8 Naive
8253,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8254,CD4 Naive,CD8+ Effector Memory T,CD8 TEM
8255,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8256,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
8257,CD8 Naive,CD8+ Naive T,CD8 Naive
8258,CD4 Memory,CD4+ Naive T,CD4 Naive
8259,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8260,CD8 Naive,CD8+ Naive T,CD8 Naive
8261,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8262,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8263,CD4 Memory,CD4+ Naive T,CD4 Naive
8264,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8265,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8266,NK cell,NK cell,NK
8267,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8268,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8269,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8270,CD14+ Monocytes,Dendritic Cells,CD16 Mono
8271,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8272,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8273,pDC,pDC,pDC
8274,CD4 Naive,CD4+ Naive T,CD4 Naive
8275,pre-B cell,Dendritic Cells,B intermediate
8276,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8277,CD8 Naive,CD8+ Naive T,CD8 Naive
8278,CD4 Naive,CD8+ Naive T,CD8 Naive
8279,NK cell,NK cell,NK
8280,CD4 Naive,CD4+ Naive T,CD4 Naive
8281,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8282,CD8 Naive,CD8+ Naive T,CD8 Naive
8283,CD4 Memory,CD4+ Naive T,CD4 Naive
8284,CD4 Naive,CD4+ Naive T,CD4 Naive
8285,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8286,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8287,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8288,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8289,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8290,CD8 Naive,CD8+ Naive T,CD8 Naive
8291,CD16+ Monocytes,CD14+ Monocytes,CD14 Mono
8292,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8293,Dendritic cell,Dendritic Cells,cDC2
8294,CD4 Naive,CD4+ Naive T,CD4 Naive
8295,B cell progenitor,Dendritic Cells,B intermediate
8296,CD8 effector,CD8+ Effector Memory T,CD4 TEM
8297,B cell progenitor,Dendritic Cells,B intermediate
8298,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8299,CD4 Naive,CD4+ Naive T,CD4 Naive
8300,,CD4+ Naive T,CD4 Naive
8301,pre-B cell,Dendritic Cells,B naive
8302,CD4 Naive,CD4+ Naive T,CD4 Naive
8303,Dendritic cell,Dendritic Cells,cDC2
8304,NK cell,NK cell,NK
8305,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8306,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8307,B cell progenitor,Dendritic Cells,B intermediate
8308,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8309,B cell progenitor,pDC,Plasmablast
8310,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8311,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8312,Dendritic cell,Dendritic Cells,cDC2
8313,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8314,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8315,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8316,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8317,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8318,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8319,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8320,pDC,pDC,pDC
8321,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8322,NK cell,NK cell,NK
8323,pre-B cell,Dendritic Cells,B naive
8324,CD4 Naive,CD4+ Naive T,CD4 Naive
8325,CD4 Naive,CD4+ Naive T,CD4 Naive
8326,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8327,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8328,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8329,CD4 Naive,CD4+ Naive T,CD4 Naive
8330,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8331,Platelets,pDC,dnT
8332,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8333,CD4 Memory,CD4+ Naive T,CD4 Naive
8334,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8335,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8336,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8337,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8338,CD4 Memory,CD4+ Naive T,CD4 Naive
8339,CD4 Naive,CD4+ Naive T,CD4 Naive
8340,CD4 Memory,CD4+ Naive T,CD4 Naive
8341,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8342,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8343,CD8 Naive,CD8+ Naive T,CD8 Naive
8344,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8345,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8346,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8347,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8348,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8349,CD8 Naive,CD8+ Naive T,CD8 Naive
8350,pre-B cell,Dendritic Cells,B naive
8351,NK cell,NK cell,NK
8352,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8353,B cell progenitor,Dendritic Cells,B intermediate
8354,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8355,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8356,CD4 Naive,CD8+ Naive T,CD8 Naive
8357,NK cell,NK cell,NK
8358,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8359,CD4 Naive,CD4+ Naive T,CD4 Naive
8360,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8361,CD4 Naive,CD8+ Naive T,CD8 Naive
8362,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8363,CD8 Naive,CD8+ Naive T,CD8 Naive
8364,CD8 Naive,CD8+ Naive T,CD8 Naive
8365,CD8 Naive,CD8+ Naive T,CD8 Naive
8366,CD4 Naive,CD8+ Effector Memory T,CD8 TEM
8367,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8368,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8369,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8370,CD14+ Monocytes,Dendritic Cells,CD16 Mono
8371,CD4 Naive,CD4+ Naive T,CD4 Naive
8372,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8373,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8374,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8375,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8376,CD8 Naive,CD8+ Naive T,CD8 Naive
8377,CD4 Naive,CD8+ Effector Memory T,CD8 TEM
8378,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8379,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8380,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8381,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8382,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8383,CD8 Naive,CD8+ Naive T,CD8 Naive
8384,CD4 Memory,CD4+ Naive T,CD4 Naive
8385,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8386,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8387,CD4 Naive,CD4+ Naive T,CD4 Naive
8388,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8389,CD8 Naive,CD8+ Naive T,CD8 Naive
8390,CD4 Naive,CD4+ Naive T,CD4 Naive
8391,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
8392,CD8 Naive,CD8+ Naive T,CD8 Naive
8393,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8394,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8395,NK cell,CD14+ Monocytes,CD14 Mono
8396,CD4 Memory,CD4+ Naive T,CD4 Naive
8397,B cell progenitor,Dendritic Cells,B intermediate
8398,Platelets,pDC,dnT
8399,B cell progenitor,Dendritic Cells,B intermediate
8400,CD4 Naive,CD4+ Naive T,CD4 Naive
8401,NK cell,NK cell,NK
8402,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8403,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8404,CD4 Naive,CD4+ Naive T,CD4 Naive
8405,CD8 Naive,CD8+ Naive T,CD8 Naive
8406,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8407,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8408,CD8 Naive,CD8+ Naive T,CD8 Naive
8409,CD4 Memory,CD14+ Monocytes,CD14 Mono
8410,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8411,NK cell,NK cell,NK
8412,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8413,CD4 Memory,CD4+ Naive T,CD4 Naive
8414,CD8 Naive,CD8+ Naive T,CD8 Naive
8415,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8416,CD8 Naive,CD8+ Naive T,CD8 Naive
8417,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8418,CD4 Naive,CD4+ Naive T,CD4 Naive
8419,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8420,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8421,pre-B cell,Dendritic Cells,B naive
8422,CD14+ Monocytes,Dendritic Cells,cDC2
8423,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8424,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8425,CD4 Naive,CD4+ Naive T,CD4 Naive
8426,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8427,Dendritic cell,Dendritic Cells,cDC2
8428,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8429,CD8 Naive,CD8+ Naive T,CD8 Naive
8430,NK cell,NK cell,NK
8431,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8432,CD4 Memory,CD4+ Naive T,CD4 Naive
8433,CD4 Naive,CD4+ Naive T,CD4 Naive
8434,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
8435,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8436,,CD4+ Naive T,CD4 Naive
8437,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8438,CD4 Naive,CD4+ Naive T,CD4 Naive
8439,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8440,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8441,CD4 Memory,CD4+ Naive T,CD4 Naive
8442,CD8 Naive,CD8+ Naive T,CD8 Naive
8443,CD4 Naive,CD4+ Naive T,CD4 Naive
8444,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8445,CD4 Memory,CD4+ Naive T,CD4 Naive
8446,CD4 Naive,CD4+ Naive T,CD4 Naive
8447,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8448,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8449,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8450,CD8 Naive,CD8+ Naive T,CD8 Naive
8451,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8452,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8453,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8454,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8455,NK cell,NK cell,NK
8456,,CD8+ Effector Memory T,CD8 TEM
8457,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8458,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8459,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8460,CD4 Naive,CD4+ Naive T,CD4 Naive
8461,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
8462,CD8 Naive,CD8+ Naive T,CD8 Naive
8463,B cell progenitor,Dendritic Cells,B intermediate
8464,B cell progenitor,Dendritic Cells,B intermediate
8465,CD4 Naive,CD4+ Naive T,CD4 Naive
8466,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8467,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8468,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8469,CD4 Naive,CD4+ Naive T,CD4 Naive
8470,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8471,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8472,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8473,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8474,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8475,CD8 Naive,CD8+ Naive T,CD8 Naive
8476,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8477,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8478,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8479,B cell progenitor,Dendritic Cells,B intermediate
8480,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8481,B cell progenitor,Dendritic Cells,B intermediate
8482,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8483,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8484,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8485,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8486,CD8 Naive,CD8+ Naive T,CD8 Naive
8487,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8488,CD4 Naive,CD8+ Naive T,CD8 Naive
8489,B cell progenitor,Dendritic Cells,B intermediate
8490,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8491,CD4 Naive,CD4+ Naive T,CD4 Naive
8492,B cell progenitor,Dendritic Cells,B intermediate
8493,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8494,CD4 Naive,CD4+ Naive T,CD4 Naive
8495,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8496,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8497,CD8 Naive,CD8+ Naive T,CD8 Naive
8498,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8499,CD4 Naive,CD4+ Naive T,CD4 Naive
8500,CD8 Naive,CD8+ Naive T,CD8 Naive
8501,pre-B cell,Dendritic Cells,B naive
8502,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8503,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8504,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8505,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8506,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8507,Dendritic cell,Dendritic Cells,cDC2
8508,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8509,CD8 Naive,CD8+ Naive T,CD8 Naive
8510,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8511,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8512,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8513,NK cell,NK cell,NK
8514,CD4 Naive,NK cell,NK
8515,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
8516,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8517,CD4 Naive,CD4+ Naive T,CD4 Naive
8518,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8519,CD4 Memory,CD4+ Naive T,CD4 Naive
8520,Dendritic cell,Dendritic Cells,cDC2
8521,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8522,CD4 Naive,CD4+ Naive T,CD4 Naive
8523,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
8524,CD8 Naive,CD8+ Naive T,CD8 Naive
8525,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8526,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8527,CD8 Naive,CD8+ Naive T,CD8 Naive
8528,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8529,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8530,CD4 Naive,CD4+ Naive T,CD4 Naive
8531,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8532,CD4 Naive,CD4+ Naive T,CD4 Naive
8533,pDC,pDC,pDC
8534,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8535,B cell progenitor,Dendritic Cells,B intermediate
8536,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8537,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
8538,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8539,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8540,CD4 Memory,CD4+ Naive T,CD4 Naive
8541,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8542,CD4 Memory,CD4+ Naive T,CD4 Naive
8543,CD4 Memory,CD4+ Naive T,CD4 Naive
8544,CD8 Naive,CD8+ Naive T,CD8 Naive
8545,CD4 Naive,CD4+ Naive T,CD4 Naive
8546,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8547,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8548,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8549,CD4 Naive,CD4+ Naive T,CD4 Naive
8550,CD8 Naive,CD8+ Naive T,CD8 Naive
8551,CD4 Naive,CD4+ Naive T,CD4 Naive
8552,CD4 Memory,CD4+ Naive T,CD4 Naive
8553,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8554,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8555,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8556,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8557,CD8 Naive,CD8+ Naive T,CD8 Naive
8558,CD8 Naive,CD8+ Naive T,CD8 Naive
8559,B cell progenitor,Dendritic Cells,B intermediate
8560,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8561,CD4 Naive,CD4+ Naive T,CD4 Naive
8562,CD4 Naive,CD4+ Naive T,CD4 Naive
8563,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8564,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8565,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8566,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8567,CD4 Memory,CD4+ Naive T,CD4 Naive
8568,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8569,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8570,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8571,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8572,B cell progenitor,Dendritic Cells,B intermediate
8573,NK cell,NK cell,NK
8574,CD8 Naive,CD8+ Naive T,CD8 Naive
8575,CD4 Memory,CD4+ Naive T,CD4 Naive
8576,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8577,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8578,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8579,CD8 Naive,CD8+ Naive T,CD8 Naive
8580,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
8581,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8582,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8583,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8584,CD8 Naive,CD8+ Naive T,CD8 Naive
8585,CD8 Naive,CD8+ Naive T,CD8 Naive
8586,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
8587,CD4 Naive,CD4+ Naive T,CD4 Naive
8588,NK cell,NK cell,NK
8589,CD4 Naive,CD4+ Naive T,CD4 Naive
8590,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8591,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8592,CD4 Naive,CD4+ Naive T,CD4 Naive
8593,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8594,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8595,CD4 Naive,CD4+ Naive T,CD4 Naive
8596,B cell progenitor,Dendritic Cells,B intermediate
8597,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8598,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8599,CD16+ Monocytes,CD14+ Monocytes,CD14 Mono
8600,Dendritic cell,Dendritic Cells,cDC2
8601,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8602,pre-B cell,Dendritic Cells,B naive
8603,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8604,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8605,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8606,Dendritic cell,Dendritic Cells,cDC2
8607,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8608,CD4 Memory,CD4+ Naive T,CD4 Naive
8609,CD4 Naive,CD4+ Naive T,CD4 Naive
8610,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8611,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8612,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8613,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8614,CD8 Naive,CD8+ Naive T,CD8 Naive
8615,CD8 Naive,CD8+ Naive T,CD8 Naive
8616,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8617,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8618,CD8 Naive,CD8+ Effector Memory T,CD8 TEM
8619,CD8 Naive,CD8+ Naive T,CD8 Naive
8620,CD16+ Monocytes,Dendritic Cells,CD16 Mono
8621,NK cell,CD14+ Monocytes,CD14 Mono
8622,CD8 Naive,CD8+ Naive T,CD8 Naive
8623,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8624,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8625,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8626,CD4 Memory,CD4+ Central Memory T,CD4 TCM
8627,CD8 effector,CD8+ Effector Memory T,CD8 TEM
8628,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
8629,CD4 Memory,CD4+ Central Memory T,CD4 TCM
